('hsa-miR-671-3p', 'MIMAT0004819')
('hsa-miR-3677-3p', 'MIMAT0018101')
('hsa-miR-3940-5p', 'MIMAT0019229')
('hsa-miR-1262', 'MIMAT0005914')
('hsa-miR-219a-1-3p', 'MIMAT0004567')
('hsa-miR-92a-1-5p', 'MIMAT0004507')
('hsa-miR-590-5p', 'MIMAT0003258')
('hsa-miR-1287-3p', 'MIMAT0026738')
('hsa-miR-218-5p', 'MIMAT0000275')
('hsa-miR-215-3p', 'MIMAT0026476')
('hsa-miR-671-5p', 'MIMAT0003880')
('hsa-miR-767-5p', 'MIMAT0003882')
('hsa-miR-338-3p', 'MIMAT0000763')
('hsa-miR-195-5p', 'MIMAT0000461')
