('T334294', 'CAT985')
('T088089', 'KHCAT174')
('T076646', 'CAT1494')
('T161701', 'KHCAT36')
('T011983', 'CAT58.4')
('T129506', 'CAT1835')
('T028383', 'PRCAT97')
('T348117', 'CAT1066')
('T369840', 'CAT1212')
('T352722', 'CAT1111')
('T037552', 'HNCAT236')
('T149846', 'CAT1948.2')
('T074099', 'CAT1473.2')
('T322740', 'KHCAT26')
('T119327', 'LOXL1-AS1.1')
('T110324', 'MEG3.1')
('T320523', 'HOXA-AS2.3')
('T066838', 'UTAT28')
('T153613', 'LINC00511.2')
('T237322', 'KHCAT424')
('T025569', 'LGAT54')
('T291198', 'MIR143HG.2')
('T208209', 'LGAT98')
('T120068', 'LACAT132')
('T029209', 'LSCAT281')
('T014669', 'PRCAT34')
('T240973', 'CAT400.3')
('T168803', 'CVAT34')
('T125481', 'BRCAT225')
('T032477', 'OVAT197.1')
('T140194', 'HRAT3')
('T232921', 'CAT2241.2')
('T183738', 'CAT199')
('T305326', 'LSCAT162.1')
('T224762', 'CAT2200')
('T079068', 'CAT1523.2')
('T020268', 'BRCAT122')
('T081837', 'HICLINC281')
('T148999', 'KCCAT596')
('T124532', 'OVAT93')
('T149819', 'CAT1947.2')
('T093701', 'LINC00284.2')
('T147068', 'KCCAT176')
('T165464', 'CAT2042')
('T127415', 'LACAT239')
('T128185', 'CVAT3')
('T109805', 'OVAT42')
('T055817', 'BRCAT73.1')
('T039352', 'THCAT554')
('T312446', 'CAT871')
('T203543', 'CAT340.3')
('T114694', 'UTAT18')
('T122864', 'CAT1790')
('T072488', 'CAT1465.1')
('T259778', 'NOP14-AS1.2')
('T276906', 'HRAT5')
('T189011', 'THCAT370')
('T029265', 'THCAT81')
('T003934', 'CAT23.2')
('T293761', 'KCCAT212')
('T267803', 'CAT572.4')
('T126062', 'BRCAT259.1')
('T290442', 'THCAT83')
('T299371', 'KCCAT524')
('T063018', 'SHANK2-AS2')
('T288821', 'P4HA2-AS1')
('T360635', 'CAT1156')
('T378515', 'MBAT109')
('T044478', 'CAT1280.2')
('T330607', 'CAT964.2')
('T355156', 'LVCAT31')
('T037321', 'LVCAT59')
('T042202', 'KPCAT85')
('T065266', 'THCAT278.2')
('T281871', 'BRCAT77.1')
('T063793', 'KCCAT555')
('T167662', 'CAT2060')
('T045611', 'CAT1286')
('T183720', 'KCCAT119')
('T257564', 'LINC00887.7')
('T285799', 'KCCAT125')
('T042844', 'JMJD1C-AS1')
('T238886', 'HICLINC89.1')
('T315153', 'LINC00473.3')
('T183175', 'PRCAT67')
('T114599', 'BRCAT65')
('T029591', 'LSCAT32')
('T000794', 'CAT4.3')
('T285614', 'CVAT20')
('T139231', 'MEAT115.2')
('T261295', 'CAT517.3')
('T287428', 'CAT700')
('T199778', 'KHCAT14.1')
('T011686', 'CAT56')
('T034582', 'CAT195.1')
('T038943', 'WAC-AS1')
('T007719', 'CRAT23.2')
('T203110', 'CAT331.2')
('T105518', 'KCCAT387')
('T174329', 'LINC00665.7')
('T319132', 'CAT908.2')
('T241203', 'THCAT334.1')
('T204840', 'LACAT135')
('T106984', 'OVAT129')
('T065452', 'CAT1408')
('T340776', 'CAT1016')
('T276533', 'CRAT50')
('T153269', 'THCAT45.3')
